Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,lat_1,lat_2,lon_1,lon_2,lat_1_radians,lat_2_radians,lon_1_radians,lon_2_radians,distance (miles),distance (Km)
"Johannesburg, South Africa - Nairobi, Kenya",JNB,NBO,-26.1,28.23,-1.28,36.81,-26.1,-1.28,28.23,36.81,-0.455530772,-0.022340206,0.492706272,0.642455468,1809,2912
"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,51.5,55.86,0.05,-4.43,0.898844243,0.974940572,0.000872664,-0.077318058,353,568
"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,40.5,51.47,-3.58,-0.45,0.706858094,0.898320645,-0.062482765,-0.007853979,773,1245
"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,51.5,-33.97,-0.45,18.59,0.898844243,-0.592888135,-0.007853979,0.324456592,6024,9695
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,50.1,51.5,8.56,0.05,0.874409643,0.898844243,0.149400131,0.000872664,384,618
"Doha, Qatar - London, United Kingdom",LHR,DOH,51.5,-0.45,25.27,51.56,51.5,25.27,-0.45,51.56,0.898844243,0.441044544,-0.007853979,0.899891441,3258,5244
"London, United Kingdom - Philadelphia, United States Of America",PHL,LHR,45.1,-89.01,51.47,-0.45,45.1,51.47,-89.01,-0.45,0.787143211,0.898320645,-1.553517012,-0.007853979,3845,6187
"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,22.3,51.47,113.94,-0.45,0.389208284,0.898320645,1.988627439,-0.007853979,5992,9643
"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,51.5,50.05,-0.45,8.56,0.898844243,0.873536978,-0.007853979,0.149400131,406,654
"Houston, United States Of America - New York, United States Of America",IAH,LGA,30,-95.34,40.77,-73.88,30,40.77,-95.34,-73.88,0.523598588,0.711570482,-1.663996314,-1.28944879,1415,2277
"Istanbul, Turkey - London, United Kingdom",IST,LHR,41,28.99,51.47,-0.45,41,51.47,28.99,-0.45,0.715584737,0.898320645,0.505970769,-0.007853979,1569,2525
"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,40.6,49.01,-73.79,2.54,0.708603423,0.855385561,-1.287877995,0.044331347,3631,5843
"London, United Kingdom - Miami, United States Of America",MIA,LHR,33.4,-110.87,51.47,-0.45,33.4,51.47,-110.87,-0.45,0.582939762,0.898320645,-1.93504585,-0.007853979,5227,8412
"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,40.6,35.75,-73.79,140.39,0.708603423,0.623954984,-1.287877995,2.450266861,6740,10847
"London, United Kingdom - Washington Dc, United States Of America",LHR,IAD,51.5,-0.45,38.96,-77.45,51.5,38.96,-0.45,-77.45,0.898844243,0.679980033,-0.007853979,-1.351757022,3670,5906
"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,51.5,1.34,-0.45,103.98,0.898844243,0.023387404,-0.007853979,1.814792707,6769,10893
"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,51.5,38.77,-0.45,-9.13,0.898844243,0.676663909,-0.007853979,-0.159348504,975,1570
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1.3,22.32,103.98,113.94,0.022689272,0.38955735,1.814792707,1.988627439,1601,2576
"Houston, United States Of America - Newark, United States Of America",IAH,EWR,30,-95.34,40.69,-74.18,30,40.69,-95.34,-74.18,0.523598588,0.710174219,-1.663996314,-1.294684776,1399,2251
"Dallas, United States Of America - New York, United States Of America",LGA,DFW,40.8,-73.88,32.87,-97.04,40.8,32.87,-73.88,-97.04,0.71209408,0.57368952,-1.28944879,-1.693666901,1389,2235
"Newark, United States Of America - Toronto Island, Canada",YTZ,EWR,43.6,-79.4,40.69,-74.18,43.6,40.69,-79.4,-74.18,0.760963282,0.710174219,-1.385790931,-1.294684776,335,539
"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56,-3.34,51.5,0.05,56,51.5,-3.34,0.05,0.977384032,0.898844243,-0.058293976,0.000872664,341,548
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,51.5,41.6,-0.45,-98.93,0.898844243,0.726056709,-0.007853979,-1.726653612,4371,7035
"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,35.8,40.64,140.39,-73.79,0.624827649,0.709301554,2.450266861,-1.287877995,6734,10838
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,22.3,40.07,113.94,116.58,0.389208284,0.699353181,1.988627439,2.034704114,1239,1994
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1.3,22.32,103.98,113.94,0.022689272,0.38955735,1.814792707,1.988627439,1601,2576
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,19.1,51.47,72.86,-0.45,0.333357768,0.898320645,1.271646438,-0.007853979,4485,7218
"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,51.5,60.74,-0.45,15.85,0.898844243,1.060112609,-0.007853979,0.276634588,892,1435
"Glasgow, United Kingdom - Madras, India",MAA,GLA,51.5,-0.45,55.86,-4.43,51.5,55.86,-0.45,-4.43,0.898844243,0.974940572,-0.007853979,-0.077318058,343,552
"Durban, South Africa - Johannesburg, South Africa",JNB,DUR,-26.1,28.23,-29.96,30.95,-26.1,-29.96,28.23,30.95,-0.455530772,-0.522900457,0.492706272,0.54017921,314,506
"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17,51.5,5.6,-0.45,-0.17,0.898844243,0.097738403,-0.007853979,-0.002967059,3175,5109
"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,35.8,51.47,140.39,-0.45,0.624827649,0.898320645,2.450266861,-0.007853979,5964,9598
"London, United Kingdom - Tel Aviv-yafo, Israel",LHR,TLV,51.5,-0.45,32.01,34.89,51.5,32.01,-0.45,34.89,0.898844243,0.558679694,-0.007853979,0.608945158,2233,3593
"Accra, Ghana - Johannesburg, South Africa",JNB,ACC,-26.1,28.23,5.6,-0.17,-26.1,5.6,28.23,-0.17,-0.455530772,0.097738403,0.492706272,-0.002967059,2904,4674
"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,-23.4,40.64,-46.48,-73.79,-0.408406899,0.709301554,-0.811228746,-1.287877995,4765,7669
"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,-26.1,30.05,28.23,31.25,-0.455530772,0.524471253,0.492706272,0.545415196,3889,6259
"Atlanta, United States Of America - New York, United States Of America",ATL,LGA,42.9,-83.53,40.77,-73.88,42.9,40.77,-83.53,-73.88,0.748745981,0.711570482,-1.457873003,-1.28944879,518,834
"Athens, Greece - London, United Kingdom",ATH,LHR,37.9,23.72,51.47,-0.45,37.9,51.47,23.72,-0.45,0.66147955,0.898320645,0.413991951,-0.007853979,1502,2418
"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,51.5,52.31,0.05,4.75,0.898844243,0.912981405,0.000872664,0.08290311,208,335
"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,22.3,40.64,113.94,-73.79,0.389208284,0.709301554,1.988627439,-1.287877995,8068,12985
"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,34.1,51.47,-118.24,-0.45,0.595157062,0.898320645,-2.06367657,-0.007853979,5435,8746
"Dallas, United States Of America - London, United Kingdom",DFW,LHR,32.9,-97.04,51.47,-0.45,32.9,51.47,-97.04,-0.45,0.574213119,0.898320645,-1.693666901,-0.007853979,4745,7636
"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,-26.1,25.25,28.23,55.35,-0.455530772,0.440695479,0.492706272,0.966039396,3987,6416
"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,48.7,51.5,2.37,0.05,0.849975042,0.898844243,0.041364288,0.000872664,219,353
"Dar Es Salaam, United Rep. Of Tanzania - Mtwara, United Rep. Of Tanzania",MYW,DAR,-10.3,40.18,-6.88,39.2,-10.3,-6.88,40.18,39.2,-0.179768849,-0.12007861,0.701273043,0.684168822,246,396
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,50.1,51.5,8.56,0.05,0.874409643,0.898844243,0.149400131,0.000872664,384,618
"Dar Es Salaam, United Rep. Of Tanzania - Johannesburg, South Africa",DAR,JNB,-6.9,39.2,-26.13,28.23,-6.9,-26.13,39.2,28.23,-0.120427675,-0.45605437,0.684168822,0.492706272,1514,2436
"Mexico City, Mexico - New York, United States Of America",MEX,JFK,19.4,-99.16,40.64,-73.79,19.4,40.64,-99.16,-73.79,0.338593754,0.709301554,-1.730667867,-1.287877995,2099,3377
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,1.3,19.09,103.98,72.86,0.022689272,0.333183235,1.814792707,1.271646438,2441,3928
"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,51.5,52.31,-0.45,4.75,0.898844243,0.912981405,-0.007853979,0.08290311,229,368
"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,46.2,51.47,6.11,-0.45,0.806341826,0.898320645,0.106639579,-0.007853979,471,758
"Bombay, India - Newark, United States Of America",BOM,EWR,19.1,72.86,40.69,-74.18,19.1,40.69,72.86,-74.18,0.333357768,0.710174219,1.271646438,-1.294684776,7804,12559
"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,40.8,43.68,-73.88,-79.61,0.71209408,0.762359545,-1.28944879,-1.389456121,355,571
"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,51.5,-26.13,-0.45,28.23,0.898844243,-0.45605437,-0.007853979,0.492706272,5646,9086
"Beijing, China - London, United Kingdom",LHR,PEK,51.5,-0.45,40.07,116.58,51.5,40.07,-0.45,116.58,0.898844243,0.699353181,-0.007853979,2.034704114,5070,8160
"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,51.5,35.55,-0.45,139.75,0.898844243,0.620464327,-0.007853979,2.439096758,5964,9598
"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,51.5,40.46,0.05,-3.58,0.898844243,0.706159963,0.000872664,-0.062482765,783,1260
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1.3,22.32,103.98,113.94,0.022689272,0.38955735,1.814792707,1.988627439,1601,2576
"Copenhagen, Denmark - London, United Kingdom",CPH,LHR,55.6,12.64,51.47,-0.45,55.6,51.47,12.64,-0.45,0.970402717,0.898320645,0.220609539,-0.007853979,608,978
"Dar Es Salaam, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",MWZ,DAR,-2.5,32.93,-6.88,39.2,-2.5,-6.88,32.93,39.2,-0.043633216,-0.12007861,0.574736717,0.684168822,528,849
"London, United Kingdom - Philadelphia, United States Of America",LHR,PHL,51.5,-0.45,45.05,-89.01,51.5,45.05,-0.45,-89.01,0.898844243,0.786270547,-0.007853979,-1.553517012,3846,6189
"Lagos, Nigeria - London, United Kingdom",LHR,LOS,51.5,-0.45,6.58,3.32,51.5,6.58,-0.45,3.32,0.898844243,0.114842624,-0.007853979,0.05794491,3115,5012
"New York, United States Of America - Rio De Janeiro, Brazil",GIG,JFK,-22.8,-43.24,40.64,-73.79,-22.8,40.64,-43.24,-73.79,-0.397934927,0.709301554,-0.754680099,-1.287877995,4808,7738
"Bombay, India - Manchester, United Kingdom",BOM,MAN,25.3,55.35,53.37,0.1,25.3,53.37,55.35,0.1,0.441568143,0.931481889,0.966039396,0.001745329,3419,5502
"Minneapolis, United States Of America - New York, United States Of America",MSP,LGA,44.9,-93.2,40.77,-73.88,44.9,40.77,-93.2,-73.88,0.783652554,0.711570482,-1.626646281,-1.28944879,1018,1638
"London, United Kingdom - Sydney, Australia",SYD,LHR,-33.9,151.23,51.47,-0.45,-33.9,51.47,151.23,-0.45,-0.591666405,0.898320645,2.639460484,-0.007853979,10587,17037
"Detroit, United States Of America - New York, United States Of America",LGA,DTW,40.8,-73.88,37.26,-107.75,40.8,37.26,-73.88,-107.75,0.71209408,0.650309447,-1.28944879,-1.880591597,1825,2937
"Hamburg, Germany - London, United Kingdom",HAM,LHR,53.6,10.01,51.47,-0.45,53.6,51.47,10.01,-0.45,0.935496145,0.898320645,0.174707396,-0.007853979,464,746
"Bukoba, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",BKZ,MWZ,-1.3,31.81,-2.45,32.93,-1.3,-2.45,31.81,32.93,-0.022689272,-0.042760551,0.555189037,0.574736717,111,179
"London, United Kingdom - Toronto, Canada",LHR,YYZ,51.5,-0.45,43.68,-79.61,51.5,43.68,-0.45,-79.61,0.898844243,0.762359545,-0.007853979,-1.389456121,3549,5711
"Bloemfontein, South Africa - Johannesburg, South Africa",BFN,JNB,-29.1,26.3,-26.13,28.23,-29.1,-26.13,26.3,28.23,-0.507890631,-0.45605437,0.459021429,0.492706272,237,381
"London, United Kingdom - San Diego, United States Of America",SAN,LHR,40.6,-73.79,51.47,-0.45,40.6,51.47,-73.79,-0.45,0.708603423,0.898320645,-1.287877995,-0.007853979,3449,5550
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1.3,22.32,103.98,113.94,0.022689272,0.38955735,1.814792707,1.988627439,1601,2576
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,51.5,22.32,-0.45,113.94,0.898844243,0.38955735,-0.007853979,1.988627439,5989,9639
"London, United Kingdom - Zurich, Switzerland",LCY,ZRH,51.5,0.05,47.45,8.57,51.5,47.45,0.05,8.57,0.898844243,0.828158434,0.000872664,0.149574663,474,763
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,25.3,-26.13,55.35,28.23,0.441568143,-0.45605437,0.966039396,0.492706272,3992,6424
"Houston, United States Of America - London, United Kingdom",IAH,LHR,30,-95.34,51.47,-0.45,30,51.47,-95.34,-0.45,0.523598588,0.898320645,-1.663996314,-0.007853979,4828,7771
"Geneva, Switzerland - London, United Kingdom",LCY,GVA,51.5,0.05,46.23,6.11,51.5,46.23,0.05,6.11,0.898844243,0.806865425,0.000872664,0.106639579,457,735
"Houston, United States Of America - London, United Kingdom",LHR,IAH,51.5,-0.45,29.98,-95.34,51.5,29.98,-0.45,-95.34,0.898844243,0.523249523,-0.007853979,-1.663996314,4829,7771
"Johannesburg, South Africa - Singapore, Singapore",JNB,SIN,-26.1,28.23,1.34,103.98,-26.1,1.34,28.23,103.98,-0.455530772,0.023387404,0.492706272,1.814792707,5384,8664
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",ICN,HKG,37.5,126.66,22.32,113.94,37.5,22.32,126.66,113.94,0.654498235,0.38955735,2.21063324,1.988627439,1295,2084
"Dubai, United Arab Emirates - Manchester, United Kingdom",MAN,DXB,53.4,0.1,25.25,55.35,53.4,25.25,0.1,55.35,0.932005487,0.440695479,0.001745329,0.966039396,3422,5507
"Glasgow, United Kingdom - London, United Kingdom",GLA,LHR,55.9,-4.43,51.47,-0.45,55.9,51.47,-4.43,-0.45,0.975638703,0.898320645,-0.077318058,-0.007853979,347,558
"Singapore, Singapore - Tokyo, Japan",SIN,HND,1.3,103.98,35.55,139.75,1.3,35.55,103.98,139.75,0.022689272,0.620464327,1.814792707,2.439096758,3299,5308
"Newark, United States Of America - San Francisco, United States Of America",EWR,SFO,40.7,-74.18,37.61,-122.39,40.7,37.61,-74.18,-122.39,0.710348752,0.656418097,-1.294684776,-2.136107708,2562,4123
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,40.7,1.34,-74.18,103.98,0.710348752,0.023387404,-1.294684776,1.814792707,9540,15353
"Miami, United States Of America - New York, United States Of America",LGA,MIA,40.8,-73.88,33.4,-110.87,40.8,33.4,-73.88,-110.87,0.71209408,0.582939762,-1.28944879,-1.93504585,2087,3359
"Singapore, Singapore - Tokyo, Japan",NRT,SIN,35.8,140.39,1.34,103.98,35.8,1.34,140.39,103.98,0.624827649,0.023387404,2.450266861,1.814792707,3335,5368
"Lisbon, Portugal - Madrid, Spain",LIS,MAD,38.8,-9.13,40.46,-3.58,38.8,40.46,-9.13,-3.58,0.677187508,0.706159963,-0.159348504,-0.062482765,317,510
"Dubai, United Arab Emirates - London, United Kingdom",LGW,DXB,51.2,-0.16,25.25,55.35,51.2,25.25,-0.16,55.35,0.893608257,0.440695479,-0.002792526,0.966039396,3403,5477
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,1.3,19.09,103.98,72.86,0.022689272,0.333183235,1.814792707,1.271646438,2441,3928
"London, United Kingdom - Rome, Italy",FCO,LHR,41.9,12.5,51.47,-0.45,41.9,51.47,12.5,-0.45,0.731292695,0.898320645,0.218166078,-0.007853979,901,1449
"Calgary, Canada - Newark, United States Of America",YYC,EWR,51.1,-114.01,40.69,-74.18,51.1,40.69,-114.01,-74.18,0.891862929,0.710174219,-1.989849169,-1.294684776,2019,3249
"Johannesburg, South Africa - Port Elizabeth, South Africa",JNB,PLZ,-26.1,28.23,-33.98,25.61,-26.1,-33.98,28.23,25.61,-0.455530772,-0.593062668,0.492706272,0.446978662,567,913
"Amsterdam, Netherlands - New York, United States Of America",JFK,AMS,40.6,-73.79,52.31,4.75,40.6,52.31,-73.79,4.75,0.708603423,0.912981405,-1.287877995,0.08290311,3639,5856
"Johannesburg, South Africa - New York, United States Of America",JNB,JFK,-26.1,28.23,40.64,-73.79,-26.1,40.64,28.23,-73.79,-0.455530772,0.709301554,0.492706272,-1.287877995,7980,12842
"London, United Kingdom - Munich, Germany",MUC,LHR,48.3,11.77,51.47,-0.45,48.3,51.47,11.77,-0.45,0.842993727,0.898320645,0.20542518,-0.007853979,586,943
"Doha, Qatar - Dubai, United Arab Emirates",DOH,DXB,25.3,51.56,25.25,55.35,25.3,25.25,51.56,55.35,0.441568143,0.440695479,0.899891441,0.966039396,237,382
"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,51.5,-33.97,-0.45,18.59,0.898844243,-0.592888135,-0.007853979,0.324456592,6024,9695
"London, United Kingdom - Milan, Italy",LCY,LIN,51.5,0.05,45.47,9.18,51.5,45.47,0.05,9.18,0.898844243,0.793600927,0.000872664,0.160221168,590,950
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,51.5,41.6,-0.45,-98.93,0.898844243,0.726056709,-0.007853979,-1.726653612,4371,7035
"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1.3,22.32,103.98,113.94,0.022689272,0.38955735,1.814792707,1.988627439,1601,2576
"Johannesburg, South Africa - Mauritius, Mauritius",JNB,MRU,-26.1,28.23,-20.43,57.68,-26.1,-20.43,28.23,57.68,-0.455530772,-0.356570639,0.492706272,1.006705553,1908,3070
"Jersey-channel Islands, United Kingdom - London, United Kingdom",LGW,JER,51.2,-0.16,49.21,-2.19,51.2,49.21,-0.16,-2.19,0.893608257,0.858876218,-0.002792526,-0.038222697,164,265
"New York, United States Of America - Santiago, Chile",JFK,SCL,40.6,-73.79,-33.39,-70.79,40.6,-33.39,-73.79,-70.79,0.708603423,-0.582765229,-1.287877995,-1.235518136,5121,8242
"Johannesburg, South Africa - Lusaka, Zambia",JNB,LUN,-26.1,28.23,-15.33,28.45,-26.1,-15.33,28.23,28.45,-0.455530772,-0.267558879,0.492706272,0.496545995,745,1199
"Johannesburg, South Africa - Nairobi, Kenya",NBO,JNB,-1.3,36.81,-26.13,28.23,-1.3,-26.13,36.81,28.23,-0.022689272,-0.45605437,0.642455468,0.492706272,1810,2913
"Isle Of Man, United Kingdom - London, United Kingdom",IOM,LGW,54.1,-4.63,51.16,-0.16,54.1,51.16,-4.63,-0.16,0.944222788,0.892910126,-0.080808715,-0.002792526,277,445
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,51.5,19.09,-0.45,72.86,0.898844243,0.333183235,-0.007853979,1.271646438,4486,7219
"London, United Kingdom - Riyadh, Saudi Arabia",LHR,RUH,51.5,-0.45,24.94,46.71,51.5,24.94,-0.45,46.71,0.898844243,0.43528496,-0.007853979,0.815243002,3075,4948
"Las Vegas, United States Of America - New York, United States Of America",JFK,LAS,40.6,-73.79,32.02,-87.96,40.6,32.02,-73.79,-87.96,0.708603423,0.558854227,-1.287877995,-1.535191061,986,1586
"London, United Kingdom - Oslo, Norway",LHR,OSL,51.5,-0.45,59.91,10.75,51.5,59.91,-0.45,10.75,0.898844243,1.045626381,-0.007853979,0.187622828,725,1167
